property damage	11750	children:	-3455.2036745838573	defective:	-3404.0571374312435	property	damage:	-3392.2387904192797	safety:	-3410.484132447287
safety	07572	children:	-3844.051638766466	defective:	-3902.180348968467	property	damage:	-3834.117586116517	safety:	-3710.955902654612
safety	09174	children:	-4926.1540195181915	defective:	-4755.164491627454	property	damage:	-4722.343554316533	safety:	-4593.686306157242
safety	10195	children:	-3143.4709898662845	defective:	-2843.7638081488117	property	damage:	-2978.709027389428	safety:	-2819.524588270252
safety	06149	children:	-4723.395254175243	defective:	-4632.084712204919	property	damage:	-4607.179053645938	safety:	-4380.427753887244
safety	11189	children:	-4150.920722009104	defective:	-4082.8873235089472	property	damage:	-4051.033350596855	safety:	-3886.5810557955247
property damage	09317	children:	-3790.727820083335	defective:	-3593.4394820311645	property	damage:	-3484.163467897244	safety:	-3531.999705529442
children	10327	children:	-3323.281872367562	defective:	-3445.103172933478	property	damage:	-3437.1821759369936	safety:	-3393.6600836412813
children	08380	children:	-5592.447008591509	defective:	-5999.172330157937	property	damage:	-6079.655557613446	safety:	-5999.3412453418505
children	97105	children:	-3444.1541965810425	defective:	-3641.0862960792206	property	damage:	-3610.227156206125	safety:	-3651.5069665612127
children	97105	children:	-3444.1541965810425	defective:	-3641.0862960792206	property	damage:	-3610.227156206125	safety:	-3651.5069665612127
children	99035	children:	-3200.692842680481	defective:	-3452.345866968885	property	damage:	-3328.3281315257705	safety:	-3315.1693665808893
property damage	10058	children:	-3153.8695510181687	defective:	-2930.3408799286494	property	damage:	-2917.627312279582	safety:	-2953.8278095141395
safety	09132	children:	-3590.738596532427	defective:	-3500.308406605416	property	damage:	-3475.8550424109535	safety:	-3366.1914377077014
property damage	04085	children:	-4368.73801486929	defective:	-4273.729819879113	property	damage:	-4039.4869440556413	safety:	-4220.121964573054
safety	10126	children:	-3211.3106435916075	defective:	-3161.25377211909	property	damage:	-3143.4024060177667	safety:	-3097.5283503958917
safety	10299	children:	-3590.4002525893516	defective:	-3363.6093367391486	property	damage:	-3406.2714126846795	safety:	-3316.7225170829447
safety	08320	children:	-2703.320635969324	defective:	-2578.918296957684	property	damage:	-2629.383349687913	safety:	-2542.176009779234
safety	09287	children:	-3199.5177188445155	defective:	-3176.3382579817207	property	damage:	-3172.2776298295557	safety:	-3164.727298773593
safety	08322	children:	-2785.3299033533494	defective:	-2645.140730326998	property	damage:	-2724.0987735011618	safety:	-2624.8746534492548
property damage	00132	children:	-1672.5719024698453	defective:	-1586.196868756654	property	damage:	-1521.7532543109035	safety:	-1580.050213860075
safety	10162	children:	-2347.1629754857245	defective:	-2332.583959572298	property	damage:	-2374.561028109758	safety:	-2289.688383665233
property damage	04099	children:	-3465.848070767654	defective:	-3329.6086634578633	property	damage:	-3229.940510096619	safety:	-3397.4041600741
property damage	04099	children:	-3465.848070767654	defective:	-3329.6086634578633	property	damage:	-3229.940510096619	safety:	-3397.4041600741
property damage	04134	children:	-4080.364044458241	defective:	-4101.877838596169	property	damage:	-4055.9655376179776	safety:	-4078.9119410117482
property damage	04138	children:	-2490.398560016131	defective:	-2355.7311042023625	property	damage:	-2287.2958160401404	safety:	-2338.467654595822
property damage	04139	children:	-3221.100794407234	defective:	-3037.799027863558	property	damage:	-3031.1356252001	safety:	-3078.354755476463
safety	08292	children:	-2606.4083518444677	defective:	-2617.4878658120847	property	damage:	-2576.4111706922013	safety:	-2505.1585971076433
safety	12170	children:	-4235.494398006351	defective:	-4311.944082261892	property	damage:	-4414.204219618685	safety:	-4209.676360603867
safety	08096	children:	-3082.740003823076	defective:	-3097.463563098865	property	damage:	-3167.5667466726272	safety:	-3044.9023563850105
safety	11050	children:	-2629.890779967702	defective:	-2634.812506660847	property	damage:	-2611.4211051725647	safety:	-2544.5762082591746
safety	09036	children:	-3086.805816077504	defective:	-3046.153629395351	property	damage:	-3002.398236245585	safety:	-2912.619718512193
safety	08026	children:	-2323.455037499623	defective:	-2292.7611061426687	property	damage:	-2258.786678927763	safety:	-2247.73309279862
property damage	07011	children:	-4605.327915854799	defective:	-4433.732795767232	property	damage:	-4375.052894465998	safety:	-4407.3696036983465
property damage	08054	children:	-4010.7648195764154	defective:	-3884.3266019445596	property	damage:	-3820.260460434915	safety:	-3843.1544759974813
defective	04112	children:	-3910.233520003083	defective:	-3728.0617970978324	property	damage:	-3750.6968670121837	safety:	-3733.0559601343066
children	09084	children:	-4620.3576107737645	defective:	-4858.534978914209	property	damage:	-4811.571070344063	safety:	-4675.539294867984
safety	04206	children:	-3501.5877726034696	defective:	-3514.2236894468174	property	damage:	-3526.7228943472956	safety:	-3361.2954746292708
property damage	12739	children:	-2638.1177171470595	defective:	-2577.051445381924	property	damage:	-2539.8753227882303	safety:	-2546.4191462304498
property damage	11725	children:	-2908.089176184142	defective:	-2803.038901497846	property	damage:	-2751.5705511556603	safety:	-2751.781437911017
children	99053	children:	-3484.6232258509904	defective:	-3741.66528290023	property	damage:	-3627.2640678483426	safety:	-3514.685816098586
safety	11706	children:	-4480.622245602412	defective:	-4191.629918202647	property	damage:	-4209.622332775984	safety:	-4135.508589029906
defective	10727	children:	-2958.1571555790806	defective:	-2937.4952131008035	property	damage:	-2971.3689503895107	safety:	-2945.393373167317
property damage	10728	children:	-2901.999474247893	defective:	-2731.1208839352053	property	damage:	-2682.9139421846144	safety:	-2759.0048577278117
safety	12729	children:	-3666.625716897337	defective:	-3530.6509216634918	property	damage:	-3629.496157507698	safety:	-3496.956077276562
safety	06543	children:	-2830.6445913483954	defective:	-2805.8438492655227	property	damage:	-2922.1216967057	safety:	-2783.988464146867
defective	06544	children:	-3307.1789360138473	defective:	-3211.1920365876977	property	damage:	-3348.273984321461	safety:	-3259.229971138465
safety	06545	children:	-5387.849452901044	defective:	-5158.4453427315175	property	damage:	-5240.292505587421	safety:	-4973.0655900146785
property damage	01514	children:	-3565.0650802317	defective:	-3361.8640455517425	property	damage:	-3283.321773949348	safety:	-3452.0960675500214
safety	03534	children:	-2685.5329254339053	defective:	-2615.0117239702795	property	damage:	-2707.558447679655	safety:	-2603.9992814198904
safety	04546	children:	-3330.930698693306	defective:	-3303.2858446940972	property	damage:	-3339.402673784029	safety:	-3291.9451161264114
defective	05562	children:	-3855.976072386596	defective:	-3554.1259393462433	property	damage:	-3735.9433029009665	safety:	-3582.5154631457285
defective	05563	children:	-4221.763621488755	defective:	-3839.4592605669623	property	damage:	-4124.435513855894	safety:	-4020.7671747070067
safety	11733	children:	-3643.15938030424	defective:	-3427.479191425501	property	damage:	-3447.700198827869	safety:	-3382.5703577791955
defective	08558	children:	-3319.4727187695034	defective:	-3125.62397605237	property	damage:	-3169.078276432359	safety:	-3144.1404734237276
property damage	03535	children:	-6854.2731008659075	defective:	-6684.012729422259	property	damage:	-6421.271095945601	safety:	-6607.806100298343
safety	03536	children:	-3888.909159575238	defective:	-3600.225573437942	property	damage:	-3721.1052835573246	safety:	-3542.8679573254362
defective	08557	children:	-2918.304787623402	defective:	-2871.0216815903	property	damage:	-2915.7536007302906	safety:	-2882.7299283943216
defective	09736	children:	-3951.790642750586	defective:	-3641.61346706088	property	damage:	-3805.560333885246	safety:	-3660.6148995107233
children	07541	children:	-2443.2422361007275	defective:	-2477.5510502426546	property	damage:	-2548.0834525168834	safety:	-2450.6958357617946
children	07541	children:	-2443.2422361007275	defective:	-2477.5510502426546	property	damage:	-2548.0834525168834	safety:	-2450.6958357617946
safety	12730	children:	-2626.0269357101006	defective:	-2541.698194276481	property	damage:	-2530.433711418389	safety:	-2510.446104195685
defective	11734	children:	-3781.4741808383023	defective:	-3605.8523118809694	property	damage:	-3618.5239886616073	safety:	-3682.4797906941844
defective	11735	children:	-2757.3082226898546	defective:	-2697.234595943695	property	damage:	-2711.853511888857	safety:	-2732.160436605531
property damage	03531	children:	-1999.607209997961	defective:	-1904.8309451026096	property	damage:	-1856.5436813487731	safety:	-1933.4650979038502
safety	04547	children:	-3257.8592743229156	defective:	-3132.8715664666242	property	damage:	-3168.540984951567	safety:	-3059.2407140828054
defective	05564	children:	-4198.380753563126	defective:	-4186.877261707851	property	damage:	-4243.232373626589	safety:	-4215.447284446641
safety	08559	children:	-3022.0971291623464	defective:	-2923.192647218417	property	damage:	-2981.172003487591	safety:	-2891.911110979424
safety	08560	children:	-3916.1481443137027	defective:	-3888.1301802285584	property	damage:	-3950.6499277069074	safety:	-3744.1469523190394
safety	09737	children:	-3880.7422215020756	defective:	-3691.729917226401	property	damage:	-3762.860356268579	safety:	-3676.30740647286
safety	03537	children:	-2852.372079533086	defective:	-2725.1285721991267	property	damage:	-2775.8246739513006	safety:	-2661.5953570750803
defective	07542	children:	-2875.316524785671	defective:	-2673.692315555534	property	damage:	-2770.3619403045413	safety:	-2848.2563455954755
defective	08561	children:	-4856.065482982139	defective:	-4532.318696612441	property	damage:	-4566.3212276052345	safety:	-4623.966950578281
defective	08562	children:	-3095.030793685093	defective:	-2974.5257085417147	property	damage:	-3153.002886096336	safety:	-2997.946411512801
defective	08563	children:	-3535.878901921677	defective:	-3529.2796715421287	property	damage:	-3705.3102367524057	safety:	-3576.327111831472
defective	06546	children:	-2866.8138949907534	defective:	-2796.247564348921	property	damage:	-2905.473448749113	safety:	-2809.063942504039
safety	06547	children:	-3966.3790931993412	defective:	-3793.61011870868	property	damage:	-3817.4232959039036	safety:	-3650.270991735511
safety	06548	children:	-3245.2063327445094	defective:	-3207.789986027359	property	damage:	-3168.863588425599	safety:	-3132.9996344459964
safety	07543	children:	-4115.7577187179095	defective:	-3904.6110446018724	property	damage:	-3992.946542599342	safety:	-3689.6558437970966
children	11736	children:	-2318.261947849946	defective:	-2372.364488728234	property	damage:	-2410.567366438323	safety:	-2318.6856615818433
children	11737	children:	-3709.781540042212	defective:	-3895.837239942698	property	damage:	-3964.6270057332963	safety:	-3890.7991203027177
defective	12731	children:	-3949.92042161475	defective:	-3655.182301158154	property	damage:	-3789.731918205506	safety:	-3736.699880457679
children	05565	children:	-2669.8149717262677	defective:	-2698.5808176711976	property	damage:	-2731.2463820648104	safety:	-2763.867278168487
safety	05566	children:	-4098.806704309527	defective:	-3884.688023297115	property	damage:	-3866.329414620852	safety:	-3816.9342056270348
safety	10731	children:	-2384.287130596346	defective:	-2335.6157563255238	property	damage:	-2414.3588201108164	safety:	-2278.5682994246968
safety	10732	children:	-3947.2752239738925	defective:	-3734.3462563627613	property	damage:	-3788.481565794174	safety:	-3465.7205594211946
safety	03538	children:	-2868.437408868172	defective:	-2853.476666070168	property	damage:	-2864.8391714249296	safety:	-2747.2618489266188
safety	04548	children:	-2971.9366884073233	defective:	-2898.670022190017	property	damage:	-2833.4408532643893	safety:	-2752.928186443914
