defective	14V173000	defective:	-1647.3420412732976	fire:	-1938.6578916228589
defective	14C002000	defective:	-1354.7335597817805	fire:	-1615.0695625670419
defective	14V165000	defective:	-1717.906589370559	fire:	-1801.033290386617
defective	14V148000	defective:	-1397.668208997974	fire:	-1512.6567064877347
fire	14V164000	defective:	-2059.063039324491	fire:	-2051.2351150850423
defective	14V171000	defective:	-3523.0016969931385	fire:	-4305.263082897235
defective	14V169000	defective:	-1804.41198288234	fire:	-2191.7915918824165
defective	14V168000	defective:	-2856.1871538322075	fire:	-3665.955383022157
defective	14V129000	defective:	-976.0036986302828	fire:	-1186.2449511619668
defective	14V067000	defective:	-1712.2020265582514	fire:	-1978.6796305693892
defective	14V103000	defective:	-1348.4129851226853	fire:	-1496.601507905057
defective	14V062000	defective:	-1062.8200347388042	fire:	-1225.535212706295
defective	14V072000	defective:	-1901.2549476070694	fire:	-2348.5776290891376
defective	14V055000	defective:	-2148.068859887582	fire:	-2181.6140388968893
defective	14V066000	defective:	-2021.963715501051	fire:	-2239.0733010473487
defective	14V039000	defective:	-1707.834227304658	fire:	-2100.860171025294
defective	14V049000	defective:	-1114.2838636912213	fire:	-1292.5147969619968
fire	14V046000	defective:	-2123.7615696302996	fire:	-2115.8510357135083
defective	14V042000	defective:	-2074.003218521741	fire:	-2204.6492796933244
defective	14V043000	defective:	-1490.6368461034822	fire:	-1693.7627936935762
defective	14V036000	defective:	-1589.7765277275964	fire:	-1701.6475328818146
defective	07V399000	defective:	-1875.303343696036	fire:	-2095.9295440046085
fire	07V406000	defective:	-1491.0643053543974	fire:	-1469.7071926355918
fire	07V400000	defective:	-2863.28786988866	fire:	-2841.6890966515543
defective	14C003000	defective:	-1972.6426784369116	fire:	-2397.129714261195
fire	14E007000	defective:	-2713.3608238789043	fire:	-2435.1145484323365
defective	14V113000	defective:	-1569.2058757084562	fire:	-1620.9361518785026
defective	14V154000	defective:	-2582.9277303587746	fire:	-2665.303215954726
defective	14V111000	defective:	-1477.9772258614648	fire:	-1543.515327830953
defective	14V153000	defective:	-3212.6743473943457	fire:	-4043.2675980273507
defective	14V151000	defective:	-1771.809227256317	fire:	-2095.824335940524
defective	14V144000	defective:	-1191.2314498360322	fire:	-1381.6652394433568
defective	14E006000	defective:	-1254.5644810881895	fire:	-1291.9399374236796
defective	14V138000	defective:	-2734.7591929849027	fire:	-3328.2096076464454
defective	14V091000	defective:	-1621.1360565839277	fire:	-1629.4388196539746
defective	14V100000	defective:	-1302.1582081885356	fire:	-1540.5821162001514
defective	13V240000	defective:	-1532.5445701604365	fire:	-1795.2606630811397
defective	13V236000	defective:	-1627.0068718600587	fire:	-1729.0783157139429
defective	13V237000	defective:	-1821.9998534134486	fire:	-2204.485220056845
defective	13V230000	defective:	-1196.943374901564	fire:	-1267.2018509941408
defective	13V232000	defective:	-1151.2917203542677	fire:	-1244.0067212991364
defective	13V228000	defective:	-2698.3448259640686	fire:	-3484.187163114595
defective	13E029000	defective:	-928.246740873331	fire:	-1098.034277352297
defective	13E030000	defective:	-1319.4010908979944	fire:	-1397.7406059541245
defective	13V233000	defective:	-2303.6025295249547	fire:	-2903.7621049010763
defective	13V222000	defective:	-1977.5959606248869	fire:	-2423.963546353707
defective	13V220000	defective:	-2053.0149039865464	fire:	-2160.6965282634387
defective	13E028000	defective:	-1244.7589698082065	fire:	-1453.6954027806678
defective	13V215000	defective:	-1819.8053060731058	fire:	-2192.046965856496
defective	13V212000	defective:	-1732.2872715183685	fire:	-2119.3204325122965
defective	13V214000	defective:	-2485.6908399102176	fire:	-2686.523283776387
defective	13V191000	defective:	-1141.6449423919705	fire:	-1270.1014464826656
defective	13V029000	defective:	-1848.3589824619219	fire:	-2239.027726519769
defective	13V595000	defective:	-1477.297803831376	fire:	-1798.6998760203674
fire	14V134000	defective:	-1504.049750086541	fire:	-1319.489332121118
fire	14V136000	defective:	-2524.2318472136667	fire:	-2049.9644930028408
fire	14V137000	defective:	-2656.5324302654017	fire:	-2021.5984972894057
fire	14V139000	defective:	-1975.3712832906365	fire:	-1674.4284098928301
fire	14V182000	defective:	-1686.7354722836749	fire:	-1366.8530288025008
fire	14V130000	defective:	-1696.3679068650517	fire:	-1371.5664287124862
fire	14V131000	defective:	-2094.993124932318	fire:	-1704.8583315097324
fire	14V132000	defective:	-2909.2191563302345	fire:	-2399.217506258903
fire	14V128000	defective:	-2261.9496578648304	fire:	-2057.3399731025347
fire	14V127000	defective:	-1896.2570855906679	fire:	-1713.924292377531
fire	14V102000	defective:	-1775.720968806461	fire:	-1531.7906544818138
fire	14V084000	defective:	-2040.250513698491	fire:	-1766.3307063343734
fire	14V057000	defective:	-1605.3014682157589	fire:	-1427.047864680728
fire	14V048000	defective:	-1590.1205137648885	fire:	-1358.9530706789874
fire	14V040000	defective:	-2005.5407325302308	fire:	-1853.240738196432
fire	14V041000	defective:	-2724.2349383618266	fire:	-2035.9240497454157
fire	14E003000	defective:	-1741.4674420282781	fire:	-1448.2772688064217
fire	07E067000	defective:	-1671.6370836703672	fire:	-1322.4319792418185
